,information,match,bet,outcome,course,date,status
0,2141-7E25AM,,,,,,
1,900,,,,,,
2,[10],,,,,,
3,16,,,,,,
4,429930.21,,,,,,
5,99210.1,,,,,,
6,bets:,,,,,,
0,,"['Viborg', 'West Ham']",Liczba goli,powyżej 2.5,1.9,2022-08-25T17:00:00.000Z,active
0,,"['Beitar Jerusalem', 'Hap. Beer Sheva']",Mecz,2,1.9,2022-08-28T17:15:00.000Z,active
0,,"['Cracovia', 'Warta']",Liczba goli,poniżej 2.5,1.75,2022-08-28T10:30:00.000Z,active
0,,"['Mjondalen', 'Sandnes Ulf']",Liczba goli,powyżej 2.5,1.7,2022-08-29T16:00:00.000Z,active
0,,"['Cruzeiro MG', 'Nautico PE']",Liczba goli,poniżej 2.5,1.8,2022-08-27T00:30:00.000Z,active
0,,"['Teut. Ottensen', 'RB Lipsk']",Liczba goli,poniżej 5.5,1.9,2022-08-30T18:46:00.000Z,active
0,,"['Brno', 'Slavia Praga']",Mecz,2,1.67,2022-08-28T17:00:00.000Z,active
0,,"['Millwall', 'Reading']",Mecz,1,1.9,2022-08-27T14:00:00.000Z,active
0,,"['Osijek', 'Hajduk Split']",Liczba goli,poniżej 2.5,1.8,2022-08-28T19:05:00.000Z,active
0,,"['Olymp. Nicosia', 'Anorthosis F.']",Mecz,2,1.85,2022-08-27T16:00:00.000Z,active
0,,"['Teplice', 'Zlin']",Liczba goli,poniżej 2.5,1.9,2022-08-27T14:00:00.000Z,active
0,,"['Montpellier', 'Ajaccio']",Liczba goli,poniżej 2.5,1.85,2022-08-31T17:00:00.000Z,active
0,,"['Norrby IF', 'AFC Eskilstuna']",Mecz,1,1.8,2022-08-28T13:00:00.000Z,active
0,,"['Stuttgart', 'Schalke 04']",Mecz,1,1.9,2022-09-03T13:30:00.000Z,active
0,,"['Verona', 'Atalanta']",Mecz,2,1.9,2022-08-28T16:30:00.000Z,active
0,,"['Las Palmas', 'FC Andorra']",Mecz,1,1.75,2022-08-29T20:00:00.000Z,active
0,2141-7E25AL,,,,,,
1,1000,,,,,,
2,[12],,,,,,
3,16,,,,,,
4,103236.88,,,,,,
5,29495.61,,,,,,
6,bets:,,,,,,
0,,"['Widzew', 'W.Płock']",Liczba goli,poniżej 3.5,1.47,2022-08-27T18:00:00.000Z,active
0,,"['Cercle Brugge', 'Zulte Waregem']",Liczba goli,poniżej 3.5,1.47,2022-08-27T16:15:00.000Z,active
0,,"['Ionikos', 'Levadiakos']",Liczba goli,powyżej 1.5,1.47,2022-08-26T18:30:00.000Z,active
0,,"['Start', 'Grorud']",Liczba goli,powyżej 2.5,1.5,2022-08-29T16:00:00.000Z,active
0,,"['Osters IF', 'Ostersunds FK']",Mecz,1,1.5,2022-08-27T13:00:00.000Z,active
